Author's Email,Author's Name,,,,
EliseBuckley@teleworm.us,Elise Buckley,,,,
VictoriaHolmes@rhyta.com,Victoria Holmes,,,,
HarveyMann@rhyta.com,Harvey Mann,,,,
JoeMoss@rhyta.com,Joe Moss,,,,
JakeSavage@dayrep.com,Jake Savage,,,,
,,,,,
ISBN Number,Available,Book Name,Genre,Publisher,Authors' Emails
9783161484100,2,Secrets Of Mara,Fantasy,Curious Media,EliseBuckley@teleworm.us
2737352664313,1,Unofficial Crimes,Horror,Princess Publishing,VictoriaHolmes@rhyta.com
7651413089920,4,Lonesome Shadow,Satire,Conco Systems,HarveyMann@rhyta.com VictoriaHolmes@rhyta.com
1633869673500,1,Invaders of the Earth,Courtroom,Viki Morris,JoeMoss@rhyta.com
4509397717490,0,Cursed Queen,Psychological,Wehco Video,JakeSavage@dayrep.com
,,,,,
Borrower's Email,Borrower's Name,Books,,,
JoshEvans@jourrapide.com,Josh Evans,9783161484100:2,,,
AimeeGray@armyspy.com,Aimee Gray,7651413089920:1,,,
KaiJones@teleworm.us,Kai Jones,4509397717490:3,,,
