Author's Email,Author's Name,,,,
elisebuckley@teleworm.us,Elise Buckley,,,,
harveymann@rhyta.com,Harvey Mann,,,,
jakesavage@dayrep.com,Jake Savage,,,,
joemoss@rhyta.com,Joe Moss,,,,
victoriaholmes@rhyta.com,Victoria Holmes,,,,
,,,,,
ISBN Number,Available,Book Name,Genre,Publisher,Authors' Email
1633869673500,1,Invaders of the Earth,Courtroom,Viki Morris,joemoss@rhyta.com
2737352664313,1,Unofficial Crimes,Horror,Princess Publishing,victoriaholmes@rhyta.com
4509397717490,0,Cursed Queen,Psychological,Wehco Video,jakesavage@dayrep.com
7651413089920,4,Lonesome Shadow,Satire,Conco Systems,harveymann@rhyta.com victoriaholmes@rhyta.com
9783161484100,2,Secrets Of Mara,Fantasy,Curious Media,elisebuckley@teleworm.us
,,,,,
Borrower's Email,Borrower's Name,Books,,,
AimeeGray@armyspy.com,Aimee Gray,7651413089920:1,,,
JoshEvans@jourrapide.com,Josh Evans,9783161484100:2,,,
KaiJones@teleworm.us,Kai Jones,4509397717490:3,,,
